Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENI062;"'11.07.2024 24:00'";11;63;17;6;gut
DENI062;"'12.07.2024 01:00'";11;-;-;6;"sehr gut"
DENI062;"'12.07.2024 02:00'";11;58;10;6;"sehr gut"
DENI062;"'12.07.2024 03:00'";11;46;16;6;"sehr gut"
DENI062;"'12.07.2024 04:00'";11;40;12;6;"sehr gut"
DENI062;"'12.07.2024 05:00'";11;34;14;6;"sehr gut"
DENI062;"'12.07.2024 06:00'";10;30;14;6;"sehr gut"
DENI062;"'12.07.2024 07:00'";10;43;11;6;"sehr gut"
DENI062;"'12.07.2024 08:00'";10;59;7;5;"sehr gut"
DENI062;"'12.07.2024 09:00'";10;62;4;5;gut
DENI062;"'12.07.2024 10:00'";9;68;3;5;gut
DENI062;"'12.07.2024 11:00'";9;75;3;5;gut
DENI062;"'12.07.2024 12:00'";9;76;3;5;gut
DENI062;"'12.07.2024 13:00'";9;77;4;5;gut
DENI062;"'12.07.2024 14:00'";9;80;4;5;gut
DENI062;"'12.07.2024 15:00'";9;76;4;5;gut
DENI062;"'12.07.2024 16:00'";9;75;4;5;gut
DENI062;"'12.07.2024 17:00'";10;69;3;5;gut
DENI062;"'12.07.2024 18:00'";10;67;3;5;gut
DENI062;"'12.07.2024 19:00'";10;58;3;6;"sehr gut"
DENI062;"'12.07.2024 20:00'";10;59;4;6;"sehr gut"
DENI062;"'12.07.2024 21:00'";11;73;4;6;gut
DENI062;"'12.07.2024 22:00'";11;86;5;6;gut
DENI062;"'12.07.2024 23:00'";10;64;5;6;gut
DENI062;"'12.07.2024 24:00'";10;56;4;6;"sehr gut"
DENI062;"'13.07.2024 01:00'";10;61;3;6;gut
DENI062;"'13.07.2024 02:00'";10;-;-;6;"sehr gut"
DENI062;"'13.07.2024 03:00'";9;68;2;5;gut
DENI062;"'13.07.2024 04:00'";9;66;2;5;gut
DENI062;"'13.07.2024 05:00'";9;66;2;5;gut
DENI062;"'13.07.2024 06:00'";8;61;3;5;gut
DENI062;"'13.07.2024 07:00'";8;58;3;5;"sehr gut"
DENI062;"'13.07.2024 08:00'";8;56;4;4;"sehr gut"
DENI062;"'13.07.2024 09:00'";8;60;3;4;"sehr gut"
DENI062;"'13.07.2024 10:00'";8;58;4;4;"sehr gut"
DENI062;"'13.07.2024 11:00'";7;60;4;4;"sehr gut"
DENI062;"'13.07.2024 12:00'";7;60;4;4;"sehr gut"
DENI062;"'13.07.2024 13:00'";7;58;4;4;"sehr gut"
DENI062;"'13.07.2024 14:00'";7;55;5;4;"sehr gut"
DENI062;"'13.07.2024 15:00'";7;58;5;4;"sehr gut"
DENI062;"'13.07.2024 16:00'";6;60;4;4;"sehr gut"
DENI062;"'13.07.2024 17:00'";6;63;4;4;gut
DENI062;"'13.07.2024 18:00'";6;62;4;3;gut
DENI062;"'13.07.2024 19:00'";6;67;4;3;gut
DENI062;"'13.07.2024 20:00'";5;66;4;3;gut
DENI062;"'13.07.2024 21:00'";5;63;5;3;gut
DENI062;"'13.07.2024 22:00'";5;67;4;3;gut
DENI062;"'13.07.2024 23:00'";5;61;5;3;gut
DENI062;"'13.07.2024 24:00'";5;53;6;3;"sehr gut"
DENI062;"'14.07.2024 01:00'";5;40;7;3;"sehr gut"
DENI062;"'14.07.2024 02:00'";5;39;6;3;"sehr gut"
DENI062;"'14.07.2024 03:00'";6;-;-;3;"sehr gut"
DENI062;"'14.07.2024 04:00'";6;42;5;3;"sehr gut"
DENI062;"'14.07.2024 05:00'";6;39;4;3;"sehr gut"
DENI062;"'14.07.2024 06:00'";6;36;4;4;"sehr gut"
DENI062;"'14.07.2024 07:00'";6;36;4;4;"sehr gut"
DENI062;"'14.07.2024 08:00'";7;43;4;4;"sehr gut"
DENI062;"'14.07.2024 09:00'";7;62;4;4;gut
DENI062;"'14.07.2024 10:00'";7;69;3;4;gut
DENI062;"'14.07.2024 11:00'";7;73;3;4;gut
DENI062;"'14.07.2024 12:00'";7;76;3;4;gut
DENI062;"'14.07.2024 13:00'";7;77;3;4;gut
DENI062;"'14.07.2024 14:00'";7;81;3;4;gut
DENI062;"'14.07.2024 15:00'";7;86;3;4;gut
DENI062;"'14.07.2024 16:00'";7;90;4;4;gut
DENI062;"'14.07.2024 17:00'";7;90;4;4;gut
DENI062;"'14.07.2024 18:00'";7;88;4;4;gut
DENI062;"'14.07.2024 19:00'";7;88;4;4;gut
DENI062;"'14.07.2024 20:00'";7;86;4;4;gut
DENI062;"'14.07.2024 21:00'";7;79;5;4;gut
DENI062;"'14.07.2024 22:00'";7;67;7;4;gut
DENI062;"'14.07.2024 23:00'";7;60;6;4;"sehr gut"
DENI062;"'14.07.2024 24:00'";7;50;7;4;"sehr gut"
DENI062;"'15.07.2024 01:00'";7;45;6;4;"sehr gut"
DENI062;"'15.07.2024 02:00'";7;41;7;4;"sehr gut"
DENI062;"'15.07.2024 03:00'";7;39;5;4;"sehr gut"
DENI062;"'15.07.2024 04:00'";7;-;-;4;"sehr gut"
DENI062;"'15.07.2024 05:00'";8;39;6;4;"sehr gut"
DENI062;"'15.07.2024 06:00'";8;23;19;4;"sehr gut"
DENI062;"'15.07.2024 07:00'";8;31;17;4;"sehr gut"
DENI062;"'15.07.2024 08:00'";8;43;13;4;"sehr gut"
DENI062;"'15.07.2024 09:00'";8;59;8;4;"sehr gut"
DENI062;"'15.07.2024 10:00'";8;81;5;4;gut
DENI062;"'15.07.2024 11:00'";8;89;5;4;gut
DENI062;"'15.07.2024 12:00'";8;93;4;4;gut
DENI062;"'15.07.2024 13:00'";8;94;4;4;gut
DENI062;"'15.07.2024 14:00'";9;97;4;4;gut
DENI062;"'15.07.2024 15:00'";8;100;3;4;gut
DENI062;"'15.07.2024 16:00'";8;101;4;4;gut
DENI062;"'15.07.2024 17:00'";8;101;4;4;gut
DENI062;"'15.07.2024 18:00'";9;103;3;4;gut
DENI062;"'15.07.2024 19:00'";9;102;3;4;gut
DENI062;"'15.07.2024 20:00'";9;96;5;5;gut
DENI062;"'15.07.2024 21:00'";9;94;4;5;gut
DENI062;"'15.07.2024 22:00'";9;84;5;5;gut
DENI062;"'15.07.2024 23:00'";10;82;5;5;gut
DENI062;"'15.07.2024 24:00'";10;79;6;5;gut
DENI062;"'16.07.2024 01:00'";10;79;5;5;gut
DENI062;"'16.07.2024 02:00'";10;76;5;5;gut
DENI062;"'16.07.2024 03:00'";11;74;4;5;gut
DENI062;"'16.07.2024 04:00'";11;65;5;5;gut
DENI062;"'16.07.2024 05:00'";11;-;-;5;"sehr gut"
DENI062;"'16.07.2024 06:00'";11;39;22;5;gut
DENI062;"'16.07.2024 07:00'";11;37;23;6;gut
DENI062;"'16.07.2024 08:00'";11;39;19;6;"sehr gut"
DENI062;"'16.07.2024 09:00'";11;49;9;6;"sehr gut"
DENI062;"'16.07.2024 10:00'";11;62;6;6;gut
DENI062;"'16.07.2024 11:00'";12;65;7;6;gut
DENI062;"'16.07.2024 12:00'";12;70;6;6;gut
DENI062;"'16.07.2024 13:00'";12;77;5;6;gut
DENI062;"'16.07.2024 14:00'";12;80;5;7;gut
DENI062;"'16.07.2024 15:00'";12;67;10;7;gut
DENI062;"'16.07.2024 16:00'";12;80;5;7;gut
DENI062;"'16.07.2024 17:00'";12;85;4;7;gut
DENI062;"'16.07.2024 18:00'";12;86;5;6;gut
DENI062;"'16.07.2024 19:00'";12;82;6;6;gut
DENI062;"'16.07.2024 20:00'";12;77;4;6;gut
DENI062;"'16.07.2024 21:00'";11;76;4;6;gut
DENI062;"'16.07.2024 22:00'";11;75;6;6;gut
DENI062;"'16.07.2024 23:00'";11;67;5;6;gut
DENI062;"'16.07.2024 24:00'";10;64;4;6;gut
DENI062;"'17.07.2024 01:00'";10;52;4;6;"sehr gut"
DENI062;"'17.07.2024 02:00'";10;44;5;6;"sehr gut"
DENI062;"'17.07.2024 03:00'";10;40;5;5;"sehr gut"
DENI062;"'17.07.2024 04:00'";10;44;5;5;"sehr gut"
DENI062;"'17.07.2024 05:00'";9;42;9;5;"sehr gut"
DENI062;"'17.07.2024 06:00'";9;-;-;5;"sehr gut"
DENI062;"'17.07.2024 07:00'";9;58;6;5;"sehr gut"
DENI062;"'17.07.2024 08:00'";8;61;7;4;gut
DENI062;"'17.07.2024 09:00'";8;74;5;4;gut
DENI062;"'17.07.2024 10:00'";8;80;4;4;gut
DENI062;"'17.07.2024 11:00'";7;83;4;4;gut
DENI062;"'17.07.2024 12:00'";7;83;4;3;gut
DENI062;"'17.07.2024 13:00'";7;83;5;3;gut
DENI062;"'17.07.2024 14:00'";6;82;5;3;gut
DENI062;"'17.07.2024 15:00'";6;79;6;3;gut
DENI062;"'17.07.2024 16:00'";6;72;7;3;gut
DENI062;"'17.07.2024 17:00'";6;78;5;3;gut
DENI062;"'17.07.2024 18:00'";6;76;5;3;gut
DENI062;"'17.07.2024 19:00'";6;70;5;3;gut
DENI062;"'17.07.2024 20:00'";6;70;5;3;gut
DENI062;"'17.07.2024 21:00'";6;67;7;3;gut
DENI062;"'17.07.2024 22:00'";6;61;9;3;gut
DENI062;"'17.07.2024 23:00'";6;72;5;3;gut
DENI062;"'17.07.2024 24:00'";6;68;4;3;gut
DENI062;"'18.07.2024 01:00'";6;60;6;3;"sehr gut"
DENI062;"'18.07.2024 02:00'";6;49;6;3;"sehr gut"
DENI062;"'18.07.2024 03:00'";6;41;6;3;"sehr gut"
DENI062;"'18.07.2024 04:00'";6;32;5;3;"sehr gut"
DENI062;"'18.07.2024 05:00'";6;19;11;3;"sehr gut"
DENI062;"'18.07.2024 06:00'";7;2;22;4;gut
DENI062;"'18.07.2024 07:00'";7;9;17;4;"sehr gut"
DENI062;"'18.07.2024 08:00'";7;26;11;4;"sehr gut"
DENI062;"'18.07.2024 09:00'";7;48;7;4;"sehr gut"
DENI062;"'18.07.2024 10:00'";7;60;3;4;"sehr gut"
DENI062;"'18.07.2024 11:00'";7;67;4;4;gut
DENI062;"'18.07.2024 12:00'";8;73;4;4;gut
DENI062;"'18.07.2024 13:00'";8;82;3;4;gut
DENI062;"'18.07.2024 14:00'";8;83;3;4;gut
DENI062;"'18.07.2024 15:00'";8;81;3;5;gut
DENI062;"'18.07.2024 16:00'";8;82;4;5;gut
DENI062;"'18.07.2024 17:00'";8;89;3;5;gut
DENI062;"'18.07.2024 18:00'";8;89;3;5;gut
DENI062;"'18.07.2024 19:00'";8;94;4;5;gut
DENI062;"'18.07.2024 20:00'";8;94;5;5;gut
DENI062;"'18.07.2024 21:00'";9;89;4;5;gut
DENI062;"'18.07.2024 22:00'";9;76;4;5;gut
DENI062;"'18.07.2024 23:00'";9;64;8;5;gut
DENI062;"'18.07.2024 24:00'";9;-;-;5;"sehr gut"
DENI062;"'19.07.2024 01:00'";9;51;7;5;"sehr gut"
DENI062;"'19.07.2024 02:00'";9;38;11;5;"sehr gut"
DENI062;"'19.07.2024 03:00'";9;33;5;5;"sehr gut"
DENI062;"'19.07.2024 04:00'";9;16;14;5;"sehr gut"
DENI062;"'19.07.2024 05:00'";9;9;15;6;"sehr gut"
DENI062;"'19.07.2024 06:00'";9;2;18;6;"sehr gut"
DENI062;"'19.07.2024 07:00'";9;10;14;6;"sehr gut"
DENI062;"'19.07.2024 08:00'";10;26;12;6;"sehr gut"
DENI062;"'19.07.2024 09:00'";10;44;21;6;gut
DENI062;"'19.07.2024 10:00'";11;66;11;6;gut
DENI062;"'19.07.2024 11:00'";11;84;7;7;gut
DENI062;"'19.07.2024 12:00'";12;111;5;7;gut
DENI062;"'19.07.2024 13:00'";12;112;3;7;gut
DENI062;"'19.07.2024 14:00'";12;112;3;7;gut
DENI062;"'19.07.2024 15:00'";12;112;3;7;gut
DENI062;"'19.07.2024 16:00'";12;113;3;7;gut
DENI062;"'19.07.2024 17:00'";12;112;3;7;gut
DENI062;"'19.07.2024 18:00'";13;110;3;7;gut
DENI062;"'19.07.2024 19:00'";13;109;2;7;gut
DENI062;"'19.07.2024 20:00'";13;111;2;8;gut
DENI062;"'19.07.2024 21:00'";13;106;3;8;gut
DENI062;"'19.07.2024 22:00'";14;96;4;8;gut
DENI062;"'19.07.2024 23:00'";14;95;4;8;gut
DENI062;"'19.07.2024 24:00'";14;89;4;8;gut
DENI062;"'20.07.2024 01:00'";14;-;-;8;"sehr gut"
DENI062;"'20.07.2024 02:00'";14;80;4;8;gut
DENI062;"'20.07.2024 03:00'";15;70;5;8;gut
DENI062;"'20.07.2024 04:00'";15;68;4;8;gut
DENI062;"'20.07.2024 05:00'";15;64;4;8;gut
DENI062;"'20.07.2024 06:00'";15;56;5;8;"sehr gut"
DENI062;"'20.07.2024 07:00'";15;58;5;8;"sehr gut"
DENI062;"'20.07.2024 08:00'";15;63;6;8;gut
DENI062;"'20.07.2024 09:00'";14;64;5;8;gut
DENI062;"'20.07.2024 10:00'";14;74;5;8;gut
DENI062;"'20.07.2024 11:00'";14;86;4;8;gut
DENI062;"'20.07.2024 12:00'";14;101;3;8;gut
DENI062;"'20.07.2024 13:00'";14;109;3;8;gut
DENI062;"'20.07.2024 14:00'";14;114;3;8;gut
DENI062;"'20.07.2024 15:00'";14;115;3;8;gut
DENI062;"'20.07.2024 16:00'";14;113;3;8;gut
DENI062;"'20.07.2024 17:00'";14;114;2;8;gut
DENI062;"'20.07.2024 18:00'";14;116;2;8;gut
DENI062;"'20.07.2024 19:00'";14;121;2;8;mäßig
DENI062;"'20.07.2024 20:00'";14;125;3;8;mäßig
DENI062;"'20.07.2024 21:00'";14;119;3;8;gut
DENI062;"'20.07.2024 22:00'";15;104;4;8;gut
DENI062;"'20.07.2024 23:00'";15;96;5;8;gut
DENI062;"'20.07.2024 24:00'";15;98;3;8;gut
DENI062;"'21.07.2024 01:00'";15;90;4;8;gut
DENI062;"'21.07.2024 02:00'";15;-;-;9;"sehr gut"
DENI062;"'21.07.2024 03:00'";16;81;4;9;gut
DENI062;"'21.07.2024 04:00'";16;81;5;9;gut
DENI062;"'21.07.2024 05:00'";16;78;4;9;gut
DENI062;"'21.07.2024 06:00'";16;75;5;9;gut
DENI062;"'21.07.2024 07:00'";17;69;5;9;gut
DENI062;"'21.07.2024 08:00'";17;70;6;9;gut
DENI062;"'21.07.2024 09:00'";17;80;5;10;gut
DENI062;"'21.07.2024 10:00'";17;89;4;10;gut
DENI062;"'21.07.2024 11:00'";17;104;4;10;gut
DENI062;"'21.07.2024 12:00'";18;116;4;10;gut
DENI062;"'21.07.2024 13:00'";18;121;3;10;mäßig
DENI062;"'21.07.2024 14:00'";19;126;4;10;mäßig
DENI062;"'21.07.2024 15:00'";19;123;5;11;mäßig
DENI062;"'21.07.2024 16:00'";20;117;5;11;gut
DENI062;"'21.07.2024 17:00'";20;112;5;11;gut
DENI062;"'21.07.2024 18:00'";20;108;4;11;gut
DENI062;"'21.07.2024 19:00'";21;93;5;11;gut
DENI062;"'21.07.2024 20:00'";20;84;6;11;gut
DENI062;"'21.07.2024 21:00'";20;70;8;11;gut
DENI062;"'21.07.2024 22:00'";20;64;7;11;gut
DENI062;"'21.07.2024 23:00'";20;57;9;12;gut
DENI062;"'21.07.2024 24:00'";20;45;6;12;gut
DENI062;"'22.07.2024 01:00'";20;38;5;12;gut
DENI062;"'22.07.2024 02:00'";21;32;5;12;gut
DENI062;"'22.07.2024 03:00'";21;-;-;12;gut
DENI062;"'22.07.2024 04:00'";21;46;6;12;gut
DENI062;"'22.07.2024 05:00'";21;45;5;12;gut
DENI062;"'22.07.2024 06:00'";21;46;7;12;gut
DENI062;"'22.07.2024 07:00'";21;44;9;12;gut
DENI062;"'22.07.2024 08:00'";20;43;10;12;gut
DENI062;"'22.07.2024 09:00'";20;51;7;12;gut
DENI062;"'22.07.2024 10:00'";19;52;5;11;gut
DENI062;"'22.07.2024 11:00'";18;53;5;11;gut
DENI062;"'22.07.2024 12:00'";17;56;3;10;"sehr gut"
DENI062;"'22.07.2024 13:00'";17;55;3;10;"sehr gut"
DENI062;"'22.07.2024 14:00'";16;63;2;10;gut
DENI062;"'22.07.2024 15:00'";15;70;2;9;gut
DENI062;"'22.07.2024 16:00'";14;75;2;9;gut
DENI062;"'22.07.2024 17:00'";14;74;3;8;gut
DENI062;"'22.07.2024 18:00'";13;74;2;8;gut
DENI062;"'22.07.2024 19:00'";13;74;2;8;gut
DENI062;"'22.07.2024 20:00'";12;72;2;8;gut
DENI062;"'22.07.2024 21:00'";12;68;3;7;gut
DENI062;"'22.07.2024 22:00'";12;45;17;7;"sehr gut"
DENI062;"'22.07.2024 23:00'";12;37;13;7;"sehr gut"
DENI062;"'22.07.2024 24:00'";11;29;15;6;"sehr gut"
DENI062;"'23.07.2024 01:00'";10;27;13;6;"sehr gut"
DENI062;"'23.07.2024 02:00'";10;36;4;6;"sehr gut"
DENI062;"'23.07.2024 03:00'";9;38;4;5;"sehr gut"
DENI062;"'23.07.2024 04:00'";8;-;-;5;"sehr gut"
DENI062;"'23.07.2024 05:00'";8;39;6;4;"sehr gut"
DENI062;"'23.07.2024 06:00'";7;34;9;4;"sehr gut"
DENI062;"'23.07.2024 07:00'";7;31;12;4;"sehr gut"
DENI062;"'23.07.2024 08:00'";7;39;10;3;"sehr gut"
DENI062;"'23.07.2024 09:00'";7;44;9;4;"sehr gut"
DENI062;"'23.07.2024 10:00'";7;56;7;4;"sehr gut"
DENI062;"'23.07.2024 11:00'";8;68;6;4;gut
DENI062;"'23.07.2024 12:00'";8;75;-;4;gut
DENI062;"'23.07.2024 13:00'";9;81;-;4;gut
DENI062;"'23.07.2024 14:00'";9;-;-;5;"sehr gut"
DENI062;"'23.07.2024 15:00'";9;58;9;5;"sehr gut"
DENI062;"'23.07.2024 16:00'";9;57;6;5;"sehr gut"
DENI062;"'23.07.2024 17:00'";9;69;5;5;gut
DENI062;"'23.07.2024 18:00'";9;72;5;5;gut
DENI062;"'23.07.2024 19:00'";9;74;5;5;gut
DENI062;"'23.07.2024 20:00'";10;66;7;5;gut
DENI062;"'23.07.2024 21:00'";10;46;18;5;"sehr gut"
DENI062;"'23.07.2024 22:00'";10;41;15;5;"sehr gut"
DENI062;"'23.07.2024 23:00'";10;43;11;5;"sehr gut"
DENI062;"'23.07.2024 24:00'";10;35;10;5;"sehr gut"
DENI062;"'24.07.2024 01:00'";10;33;8;5;"sehr gut"
DENI062;"'24.07.2024 02:00'";10;38;6;6;"sehr gut"
DENI062;"'24.07.2024 03:00'";11;46;5;6;"sehr gut"
DENI062;"'24.07.2024 04:00'";11;42;6;6;"sehr gut"
DENI062;"'24.07.2024 05:00'";11;-;6;6;"sehr gut"
DENI062;"'24.07.2024 06:00'";12;41;6;6;"sehr gut"
DENI062;"'24.07.2024 07:00'";12;39;7;7;"sehr gut"
DENI062;"'24.07.2024 08:00'";12;44;9;7;"sehr gut"
DENI062;"'24.07.2024 09:00'";12;47;8;7;"sehr gut"
DENI062;"'24.07.2024 10:00'";12;50;6;7;"sehr gut"
DENI062;"'24.07.2024 11:00'";12;52;4;7;"sehr gut"
DENI062;"'24.07.2024 12:00'";12;57;3;7;"sehr gut"
DENI062;"'24.07.2024 13:00'";11;57;2;6;"sehr gut"
DENI062;"'24.07.2024 14:00'";11;58;3;6;"sehr gut"
DENI062;"'24.07.2024 15:00'";11;61;2;6;gut
DENI062;"'24.07.2024 16:00'";11;65;3;6;gut
DENI062;"'24.07.2024 17:00'";11;66;2;6;gut
DENI062;"'24.07.2024 18:00'";11;68;3;6;gut
DENI062;"'24.07.2024 19:00'";11;70;3;6;gut
DENI062;"'24.07.2024 20:00'";11;71;3;6;gut
DENI062;"'24.07.2024 21:00'";11;67;5;6;gut
DENI062;"'24.07.2024 22:00'";12;65;4;6;gut
DENI062;"'24.07.2024 23:00'";12;57;6;6;"sehr gut"
DENI062;"'24.07.2024 24:00'";12;54;-;6;"sehr gut"
DENI062;"'25.07.2024 01:00'";11;48;7;6;"sehr gut"
DENI062;"'25.07.2024 02:00'";11;42;7;6;"sehr gut"
DENI062;"'25.07.2024 03:00'";11;32;5;6;"sehr gut"
DENI062;"'25.07.2024 04:00'";10;20;7;5;"sehr gut"
DENI062;"'25.07.2024 05:00'";10;11;15;5;"sehr gut"
DENI062;"'25.07.2024 06:00'";9;-;20;5;"sehr gut"
DENI062;"'25.07.2024 07:00'";9;8;21;5;gut
DENI062;"'25.07.2024 08:00'";9;25;13;5;"sehr gut"
DENI062;"'25.07.2024 09:00'";9;36;9;4;"sehr gut"
DENI062;"'25.07.2024 10:00'";9;56;4;4;"sehr gut"
DENI062;"'25.07.2024 11:00'";9;65;3;4;gut
DENI062;"'25.07.2024 12:00'";9;68;2;4;gut
DENI062;"'25.07.2024 13:00'";8;68;2;4;gut
DENI062;"'25.07.2024 14:00'";8;72;2;4;gut
DENI062;"'25.07.2024 15:00'";8;74;2;4;gut
DENI062;"'25.07.2024 16:00'";8;72;3;4;gut
DENI062;"'25.07.2024 17:00'";8;74;2;4;gut
DENI062;"'25.07.2024 18:00'";8;77;3;4;gut
DENI062;"'25.07.2024 19:00'";8;79;5;4;gut
DENI062;"'25.07.2024 20:00'";8;84;6;4;gut
DENI062;"'25.07.2024 21:00'";8;76;8;4;gut
DENI062;"'25.07.2024 22:00'";9;62;11;4;gut
DENI062;"'25.07.2024 23:00'";10;51;15;4;"sehr gut"
DENI062;"'25.07.2024 24:00'";10;58;8;4;"sehr gut"
DENI062;"'26.07.2024 01:00'";11;58;-;4;"sehr gut"
DENI062;"'26.07.2024 02:00'";11;57;4;5;"sehr gut"
DENI062;"'26.07.2024 03:00'";11;57;4;5;"sehr gut"
DENI062;"'26.07.2024 04:00'";11;47;6;5;"sehr gut"
DENI062;"'26.07.2024 05:00'";11;36;7;5;"sehr gut"
DENI062;"'26.07.2024 06:00'";11;31;10;5;"sehr gut"
DENI062;"'26.07.2024 07:00'";12;30;12;5;"sehr gut"
DENI062;"'26.07.2024 08:00'";12;35;11;5;"sehr gut"
DENI062;"'26.07.2024 09:00'";12;39;11;6;"sehr gut"
DENI062;"'26.07.2024 10:00'";12;43;10;6;"sehr gut"
DENI062;"'26.07.2024 11:00'";12;44;10;6;"sehr gut"
DENI062;"'26.07.2024 12:00'";13;45;10;6;"sehr gut"
DENI062;"'26.07.2024 13:00'";13;59;8;6;"sehr gut"
DENI062;"'26.07.2024 14:00'";13;71;7;6;gut
DENI062;"'26.07.2024 15:00'";13;74;8;6;gut
DENI062;"'26.07.2024 16:00'";13;71;7;7;gut
DENI062;"'26.07.2024 17:00'";13;70;6;7;gut
DENI062;"'26.07.2024 18:00'";13;70;6;7;gut
DENI062;"'26.07.2024 19:00'";13;58;9;7;"sehr gut"
DENI062;"'26.07.2024 20:00'";13;58;5;7;"sehr gut"
DENI062;"'26.07.2024 21:00'";13;60;5;7;"sehr gut"
DENI062;"'26.07.2024 22:00'";12;61;5;7;gut
DENI062;"'26.07.2024 23:00'";11;55;10;7;"sehr gut"
DENI062;"'26.07.2024 24:00'";11;-;10;7;"sehr gut"
DENI062;"'27.07.2024 01:00'";11;28;12;7;"sehr gut"
DENI062;"'27.07.2024 02:00'";11;17;-;7;"sehr gut"
DENI062;"'27.07.2024 03:00'";11;10;10;7;"sehr gut"
DENI062;"'27.07.2024 04:00'";11;3;8;7;"sehr gut"
DENI062;"'27.07.2024 05:00'";11;4;11;7;"sehr gut"
DENI062;"'27.07.2024 06:00'";11;12;9;7;"sehr gut"
DENI062;"'27.07.2024 07:00'";11;20;9;7;"sehr gut"
DENI062;"'27.07.2024 08:00'";11;14;13;7;"sehr gut"
DENI062;"'27.07.2024 09:00'";11;22;11;7;"sehr gut"
DENI062;"'27.07.2024 10:00'";11;23;11;7;"sehr gut"
DENI062;"'27.07.2024 11:00'";11;35;5;7;"sehr gut"
DENI062;"'27.07.2024 12:00'";11;40;5;7;"sehr gut"
DENI062;"'27.07.2024 13:00'";11;55;4;7;"sehr gut"
DENI062;"'27.07.2024 14:00'";11;72;3;7;gut
DENI062;"'27.07.2024 15:00'";11;76;2;7;gut
DENI062;"'27.07.2024 16:00'";11;79;2;7;gut
DENI062;"'27.07.2024 17:00'";11;79;2;7;gut
DENI062;"'27.07.2024 18:00'";11;77;3;7;gut
DENI062;"'27.07.2024 19:00'";11;72;2;7;gut
DENI062;"'27.07.2024 20:00'";11;62;5;7;gut
DENI062;"'27.07.2024 21:00'";11;56;4;7;"sehr gut"
DENI062;"'27.07.2024 22:00'";11;51;5;7;"sehr gut"
DENI062;"'27.07.2024 23:00'";11;44;4;7;"sehr gut"
DENI062;"'27.07.2024 24:00'";11;41;3;7;"sehr gut"
DENI062;"'28.07.2024 01:00'";11;-;3;7;"sehr gut"
DENI062;"'28.07.2024 02:00'";11;46;4;7;"sehr gut"
DENI062;"'28.07.2024 03:00'";11;51;-;7;"sehr gut"
DENI062;"'28.07.2024 04:00'";11;57;3;7;"sehr gut"
DENI062;"'28.07.2024 05:00'";11;50;3;7;"sehr gut"
DENI062;"'28.07.2024 06:00'";11;46;5;7;"sehr gut"
DENI062;"'28.07.2024 07:00'";11;37;6;7;"sehr gut"
DENI062;"'28.07.2024 08:00'";11;39;4;7;"sehr gut"
DENI062;"'28.07.2024 09:00'";11;43;5;7;"sehr gut"
DENI062;"'28.07.2024 10:00'";11;38;6;7;"sehr gut"
DENI062;"'28.07.2024 11:00'";11;52;4;7;"sehr gut"
DENI062;"'28.07.2024 12:00'";11;64;4;7;gut
DENI062;"'28.07.2024 13:00'";10;68;3;7;gut
DENI062;"'28.07.2024 14:00'";10;71;3;7;gut
DENI062;"'28.07.2024 15:00'";10;79;2;6;gut
DENI062;"'28.07.2024 16:00'";10;77;2;6;gut
DENI062;"'28.07.2024 17:00'";10;75;2;6;gut
DENI062;"'28.07.2024 18:00'";10;72;2;6;gut
DENI062;"'28.07.2024 19:00'";10;75;2;6;gut
DENI062;"'28.07.2024 20:00'";10;73;4;6;gut
DENI062;"'28.07.2024 21:00'";9;70;4;6;gut
DENI062;"'28.07.2024 22:00'";9;67;3;6;gut
DENI062;"'28.07.2024 23:00'";9;63;4;6;gut
DENI062;"'28.07.2024 24:00'";9;59;4;5;"sehr gut"
DENI062;"'29.07.2024 01:00'";9;54;5;5;"sehr gut"
DENI062;"'29.07.2024 02:00'";9;-;8;5;"sehr gut"
DENI062;"'29.07.2024 03:00'";8;43;7;5;"sehr gut"
DENI062;"'29.07.2024 04:00'";8;26;-;5;"sehr gut"
DENI062;"'29.07.2024 05:00'";8;20;10;5;"sehr gut"
DENI062;"'29.07.2024 06:00'";8;5;20;5;"sehr gut"
DENI062;"'29.07.2024 07:00'";8;11;22;5;gut
DENI062;"'29.07.2024 08:00'";8;25;15;5;"sehr gut"
DENI062;"'29.07.2024 09:00'";8;45;10;4;"sehr gut"
DENI062;"'29.07.2024 10:00'";8;64;4;4;gut
DENI062;"'29.07.2024 11:00'";8;64;3;4;gut
DENI062;"'29.07.2024 12:00'";7;68;3;4;gut
DENI062;"'29.07.2024 13:00'";7;70;2;4;gut
DENI062;"'29.07.2024 14:00'";7;73;2;4;gut
DENI062;"'29.07.2024 15:00'";7;77;2;4;gut
DENI062;"'29.07.2024 16:00'";7;80;2;4;gut
DENI062;"'29.07.2024 17:00'";7;82;2;4;gut
DENI062;"'29.07.2024 18:00'";7;86;3;4;gut
DENI062;"'29.07.2024 19:00'";7;87;3;4;gut
DENI062;"'29.07.2024 20:00'";7;91;3;4;gut
DENI062;"'29.07.2024 21:00'";7;86;4;4;gut
